User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
31,3,Mastercard,Debit,5401948301255038,12/2022,920,YES,2,20634.0,03/2005,2007,No
32,0,Visa,Credit,4295364044956974,04/2007,656,YES,2,12200.0,12/2006,2010,No
32,1,Visa,Credit,4737484014371342,02/2010,221,YES,2,5500.0,01/2008,2008,No
33,0,Visa,Credit,4509365132510769,03/2020,281,NO,2,6600.0,02/2020,2020,No
33,1,Mastercard,Debit,5068255294282305,11/2020,890,YES,1,25815.0,12/2017,2017,No
34,0,Amex,Credit,354813103334804,06/2021,527,YES,2,8400.0,01/2014,2014,No
34,1,Mastercard,Debit,5910929635230868,02/2020,525,YES,1,21628.0,03/2001,2008,No
34,2,Mastercard,Debit,5400182448188961,10/2021,412,YES,1,24232.0,07/2009,2009,No
35,0,Mastercard,Debit,5039048842448184,11/2023,339,YES,2,10775.0,02/2009,2010,No
35,1,Mastercard,Debit (Prepaid),5672012369002302,02/2020,598,YES,2,105.0,06/2007,2013,No
36,0,Visa,Credit,4336733185475861,01/2021,221,NO,2,7100.0,11/2010,2010,No
36,1,Mastercard,Debit,5985582173054292,07/2024,951,YES,1,29351.0,11/2005,2007,No
36,2,Mastercard,Debit,5281056728185174,03/2020,835,YES,2,15125.0,04/2008,2012,No
36,3,Mastercard,Credit,5615660494634705,11/2021,865,YES,2,8000.0,11/2003,2008,No
36,4,Mastercard,Debit (Prepaid),5314878099448745,05/2011,994,YES,1,83.0,11/2010,2010,No
37,0,Amex,Credit,311095486859536,01/2024,536,YES,2,23700.0,07/2012,2012,No
38,0,Visa,Credit,4624747592911129,02/2024,986,YES,2,700.0,12/2016,2016,No
39,0,Mastercard,Debit,5595562388674401,07/2024,594,YES,2,7488.0,07/2006,2016,No
40,0,Visa,Credit,4171022488649333,01/2002,225,NO,1,24900.0,02/1999,2010,No
40,1,Mastercard,Debit,5246337038556761,06/2021,638,YES,2,30971.0,03/2005,2020,No
40,2,Amex,Credit,399966116933253,01/2024,343,YES,1,24400.0,01/2020,2020,No
40,3,Mastercard,Debit,5064137987234665,02/2020,599,YES,2,53549.0,01/2020,2020,No
40,4,Visa,Debit,4905540969337037,09/2018,573,YES,1,53036.0,10/2013,2013,No
40,5,Mastercard,Debit,5703849820939467,12/2024,300,YES,1,35750.0,08/2011,2011,No
40,6,Visa,Debit,4055403312631050,07/2021,902,YES,1,33375.0,03/2013,2013,No
41,0,Visa,Debit (Prepaid),4587476056357151,07/2023,858,YES,2,22.0,12/2010,2010,No
41,1,Discover,Credit,6521426249819196,11/2020,608,YES,1,13100.0,08/2014,2014,No
41,2,Visa,Debit,4199712815274632,10/2024,440,YES,1,16516.0,07/2003,2011,No
41,3,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,15700.0,05/2004,2011,No
41,4,Mastercard,Debit,5214643602729093,05/2024,474,YES,1,21058.0,08/2003,2007,No
42,0,Visa,Debit,4013876625955765,10/2023,543,YES,2,36425.0,01/2002,2004,No
42,1,Visa,Debit (Prepaid),4966050979388902,03/2021,585,YES,2,91.0,12/2016,2016,No
42,2,Mastercard,Credit,5247576622089394,09/2021,379,YES,1,13400.0,04/2005,2014,No
42,3,Mastercard,Credit,5911319900289832,04/2021,37,YES,2,21600.0,04/2010,2010,No
43,0,Mastercard,Debit,5058769177189803,02/2020,12,NO,1,9090.0,02/2020,2020,No
44,0,Visa,Debit,4682877628388639,02/2023,846,NO,1,25942.0,11/2012,2012,No
44,1,Mastercard,Credit,5882842508952744,07/2019,614,YES,2,10700.0,02/2003,2013,No
44,2,Mastercard,Credit,5637149260486793,07/2022,630,YES,2,4900.0,02/2020,2020,No
45,0,Mastercard,Credit,5115700923413241,04/2022,587,NO,1,18100.0,02/2020,2020,No
46,0,Amex,Credit,324640473359364,03/2024,659,YES,2,7200.0,01/2020,2020,No
47,0,Mastercard,Debit,5033428838471726,02/2020,546,YES,2,22660.0,07/2004,2007,No
47,1,Discover,Credit,6969946254132652,12/2022,588,YES,1,19800.0,05/2011,2011,No
47,2,Mastercard,Credit,5181226307106931,11/2024,820,YES,2,15500.0,01/2005,2014,No
47,3,Visa,Debit (Prepaid),4310689470082080,06/2023,458,YES,1,13.0,01/2005,2008,No
47,4,Mastercard,Debit,5051066154001741,06/2021,526,YES,2,4317.0,07/2001,2011,No
48,0,Mastercard,Debit,5456915066505066,12/2021,553,NO,1,14719.0,03/2000,2008,No
48,1,Mastercard,Debit,5132664334960880,05/2021,593,YES,1,9532.0,09/2017,2017,No
48,2,Mastercard,Credit,5752873844240568,03/2020,486,YES,1,10900.0,07/2006,2014,No
49,0,Mastercard,Credit,5494228198326752,09/2024,428,YES,2,6200.0,11/2001,2012,No
49,1,Mastercard,Debit,5789639625525459,12/2012,43,YES,2,2903.0,11/2005,2011,No
49,2,Mastercard,Debit,5392957769023387,10/2020,803,YES,2,4355.0,12/1999,2010,No
50,0,Mastercard,Debit,5182820825620434,04/2021,126,YES,1,28963.0,11/2007,2012,No
50,1,Mastercard,Debit,5102353988152905,12/2022,667,YES,2,20913.0,05/2016,2016,No
50,2,Mastercard,Debit,5033135709911480,07/2024,170,YES,1,23344.0,02/2010,2010,No
50,3,Mastercard,Debit,5611522756791997,01/2020,882,YES,2,33642.0,10/2016,2016,No
51,0,Mastercard,Debit,5037404409791945,01/2022,681,YES,1,14695.0,09/2010,2011,No
52,0,Mastercard,Credit,5571363047071896,09/2023,510,YES,1,13200.0,01/2007,2015,No
52,1,Visa,Debit,4083033843851772,01/2020,173,YES,1,29950.0,09/2008,2013,No
52,2,Visa,Credit,4829916759482899,07/2024,768,YES,2,4600.0,12/2007,2011,No
53,0,Mastercard,Debit,5458492483408549,12/2022,92,YES,1,10051.0,04/2002,2011,No
53,1,Mastercard,Debit,5879094230635425,12/2015,729,YES,2,9796.0,02/2003,2013,No
54,0,Mastercard,Debit,5769435406360328,10/2021,957,YES,1,17826.0,10/2009,2009,No
54,1,Mastercard,Debit,5588799529406913,11/2024,778,YES,1,19086.0,12/2006,2009,No
54,2,Visa,Debit,4410685608952637,06/2024,265,YES,2,17345.0,10/2014,2014,No
54,3,Visa,Debit,4470822684089911,09/2020,923,YES,2,17976.0,02/2013,2013,No
54,4,Visa,Debit,4804338444306727,01/2022,279,YES,2,16447.0,01/2019,2019,No
55,0,Visa,Debit,4194362281636453,10/2024,271,YES,2,29573.0,10/2008,2009,No
55,1,Mastercard,Debit (Prepaid),5436469451844829,12/2021,48,YES,2,98.0,12/2010,2010,No
55,2,Mastercard,Debit,5648865641388293,08/2019,71,YES,2,2559.0,08/2002,2012,No
55,3,Mastercard,Debit,5914243757284149,10/2012,436,YES,2,6552.0,01/2003,2010,No
56,0,Mastercard,Credit,5193780952753626,01/2021,591,YES,2,13800.0,01/2020,2020,No
57,0,Mastercard,Debit,5957925302951752,08/2020,746,YES,1,16375.0,02/2020,2020,No
57,1,Visa,Debit,4557061225558443,05/2023,780,YES,1,14213.0,01/2020,2020,No
57,2,Visa,Debit (Prepaid),4883222888293069,09/2020,2,YES,1,73.0,02/2020,2020,No
58,0,Mastercard,Debit,5476407228285230,11/2022,688,YES,2,53466.0,07/2007,2013,No
59,0,Visa,Credit,4698943729070491,09/2020,450,YES,1,6600.0,01/2011,2013,No
59,1,Mastercard,Credit,5579147219556308,06/2022,806,NO,2,7200.0,12/2015,2015,No
60,0,Mastercard,Debit,5099614207935768,11/2020,856,YES,1,2868.0,01/2020,2020,No
60,1,Discover,Credit,6177503172021506,05/2024,97,YES,1,3400.0,01/2020,2020,No
61,0,Mastercard,Debit,5188130978534931,01/2022,446,YES,1,12915.0,10/2011,2013,No
61,1,Visa,Debit (Prepaid),4860320285002452,12/2023,366,YES,2,84.0,04/2009,2017,No
61,2,Discover,Credit,6417599205270844,07/2021,504,YES,2,17600.0,04/2018,2018,No
61,3,Mastercard,Debit,5516722949603675,12/2012,621,YES,1,31542.0,11/2006,2009,No
61,4,Mastercard,Debit,5891053637541514,02/2022,362,YES,2,23049.0,06/2013,2013,No
61,5,Visa,Debit,4222570131769035,05/2020,141,YES,1,29734.0,12/2017,2017,No
61,6,Visa,Credit,4453742478192143,01/2020,346,YES,2,27000.0,09/2011,2016,No
61,7,Mastercard,Debit (Prepaid),5335984658439104,11/2022,320,YES,1,18.0,03/2008,2010,No
62,0,Mastercard,Debit,5708150083756692,04/2023,824,YES,1,17848.0,12/2015,2015,No
62,1,Mastercard,Debit,5238684130320063,11/2022,870,NO,1,25563.0,05/2010,2010,No
62,2,Visa,Credit,4740880792169372,04/2020,168,YES,2,12000.0,10/2010,2010,No
62,3,Amex,Credit,361648729239104,11/2018,709,NO,2,6600.0,02/2012,2012,No
63,0,Amex,Credit,363305614201313,09/2023,943,NO,1,5600.0,01/2020,2020,No
63,1,Visa,Debit,4360859456629853,11/2022,428,YES,3,11873.0,02/2020,2020,No
63,2,Mastercard,Credit,5498016831726771,02/2020,871,YES,1,7200.0,02/2020,2020,No
64,0,Amex,Credit,381572912003735,08/2024,145,YES,1,10000.0,02/2020,2020,No
64,1,Mastercard,Credit,5079302523329059,04/2023,381,YES,2,500.0,11/2010,2010,No
65,0,Mastercard,Debit,5546998350637125,02/2020,718,YES,1,22697.0,02/2020,2020,No
65,1,Mastercard,Credit,5326031764905960,08/2023,437,YES,1,18000.0,03/2013,2013,No
65,2,Mastercard,Debit,5096150037217374,10/2024,862,YES,1,32903.0,06/2010,2010,No
66,0,Visa,Debit,4489873116412364,08/2021,547,YES,2,12764.0,05/1999,2010,No
66,1,Mastercard,Credit,5621725368325863,10/2022,60,YES,1,6300.0,02/2019,2019,No
67,0,Mastercard,Debit,5923138803280580,02/2022,934,YES,2,7541.0,09/2008,2013,No
67,1,Visa,Debit,4447989421793048,03/2022,995,YES,2,1266.0,06/2007,2012,No
67,2,Mastercard,Credit,5000307662634780,04/2020,263,NO,1,9500.0,09/2014,2014,No
68,0,Mastercard,Debit,5707305515533516,04/2020,203,YES,2,1837.0,06/2010,2010,No
68,1,Mastercard,Debit,5864987017850552,08/2023,258,YES,2,17453.0,02/2006,2008,No
69,0,Visa,Debit,4228885239928189,10/2013,543,NO,1,28283.0,05/2008,2012,No
69,1,Visa,Credit,4210237285941913,04/2020,160,YES,1,13500.0,05/2010,2012,No
69,2,Visa,Credit,4877073763902898,07/2014,786,YES,2,13300.0,06/2012,2012,No
70,0,Mastercard,Debit,5558040779986506,09/2021,69,YES,2,17941.0,04/2009,2009,No
71,0,Visa,Credit,4642496218651973,04/2018,594,YES,1,14400.0,06/2010,2012,No
71,1,Visa,Credit,4244401907291512,04/2020,120,YES,1,4400.0,07/2012,2012,No
71,2,Mastercard,Credit,5157439545898691,03/2020,657,YES,1,13000.0,02/2020,2020,No
71,3,Visa,Debit,4079516725179269,04/2023,72,YES,2,22701.0,02/2020,2020,No
72,0,Mastercard,Credit,5597117503471640,08/2024,934,NO,1,16100.0,02/2020,2020,No
72,1,Mastercard,Debit,5808372218918202,09/2023,138,YES,2,7629.0,02/2020,2020,No
73,0,Mastercard,Debit,5565497732362129,03/2022,430,NO,1,16538.0,04/2012,2012,No
73,1,Visa,Debit,4072893581482208,12/2020,578,YES,2,22746.0,01/2008,2010,No
73,2,Mastercard,Debit,5161929618424764,07/2016,743,YES,1,9737.0,02/2016,2016,No
73,3,Mastercard,Credit,5359358098670039,07/2019,428,YES,1,6500.0,02/2011,2014,No
73,4,Mastercard,Debit,5093514487076217,06/2020,889,YES,2,2650.0,02/2011,2013,No
73,5,Visa,Credit,4409790595650716,05/2012,839,YES,2,8200.0,01/2009,2011,No
73,6,Amex,Credit,373325875666765,01/2022,204,YES,2,6200.0,11/2006,2013,No
74,0,Amex,Credit,366837170672753,01/2021,803,YES,2,22600.0,11/2006,2014,No
74,1,Mastercard,Debit,5260255791659846,05/2024,428,YES,2,6940.0,03/2006,2009,No
74,2,Mastercard,Debit,5911939393457828,03/2024,410,YES,2,23408.0,04/1996,2008,No
74,3,Visa,Credit,4226284680001632,09/2022,966,YES,2,9700.0,11/2004,2007,No
75,0,Mastercard,Debit,5624997997810589,06/2024,992,NO,2,10538.0,07/2006,2006,No
75,1,Mastercard,Debit,5752209560237460,03/2023,385,YES,2,6853.0,08/2001,2006,No
75,2,Mastercard,Debit,5470018669871087,10/2020,598,YES,2,607.0,12/2002,2010,No
75,3,Mastercard,Credit,5764603958082866,08/2021,397,YES,1,0.0,08/2010,2010,No
75,4,Visa,Debit,4378354586828464,06/2021,644,YES,2,8253.0,10/2004,2011,No
76,0,Visa,Debit,4415203972868492,09/2020,847,YES,2,8492.0,01/2020,2020,No
77,0,Visa,Credit,4716309780327853,07/2022,275,YES,1,9100.0,01/2010,2010,No
77,1,Mastercard,Credit,5175414290540891,04/2022,497,NO,2,2600.0,07/2011,2011,No
77,2,Mastercard,Credit,5079431552272493,05/2024,813,NO,1,7300.0,11/2002,2010,No
78,0,Visa,Credit,4841586209388617,08/2020,207,YES,1,15000.0,10/2009,2009,No
78,1,Mastercard,Credit,5133341979041600,04/2024,497,YES,2,18700.0,02/2020,2020,No
78,2,Visa,Debit,4044685132149960,05/2021,579,YES,1,21458.0,01/2020,2020,No
78,3,Visa,Credit,4825181289428263,04/2020,635,NO,1,15700.0,11/2010,2014,No
79,0,Mastercard,Debit,5533057740649374,01/2020,13,YES,2,20765.0,12/2014,2014,No
79,1,Mastercard,Debit,5137811039972629,06/2022,170,NO,2,18101.0,02/2020,2020,No
79,2,Visa,Credit,4409545480052957,11/2024,528,YES,1,8400.0,02/2020,2020,No
79,3,Mastercard,Debit,5169705466479218,03/2020,66,YES,1,1737.0,01/2020,2020,No
80,0,Mastercard,Credit,5782138554730431,02/2020,217,YES,2,20900.0,02/2020,2020,No
80,1,Visa,Credit,4450097042295695,11/2021,601,YES,1,23700.0,02/2020,2020,No
80,2,Mastercard,Credit,5298079382002761,11/2021,989,YES,1,17500.0,01/2020,2020,No
81,0,Visa,Debit,4911894810892317,06/2024,769,YES,1,26083.0,12/2009,2009,No
81,1,Visa,Debit,4394014058373538,10/2022,943,YES,1,31589.0,05/2008,2008,No
81,2,Visa,Credit,4984110253172329,06/2021,453,YES,2,24200.0,10/2000,2013,No
82,0,Mastercard,Debit,5658875071888530,02/2020,190,YES,2,18321.0,02/2020,2020,No
83,0,Mastercard,Debit,5377126168537132,10/2022,94,YES,2,7551.0,11/2002,2010,No
83,1,Mastercard,Debit,5606824501502078,06/2014,451,YES,1,15377.0,08/2004,2011,No
83,2,Visa,Debit,4501704511432206,03/2023,324,YES,1,12990.0,10/2007,2016,No
83,3,Visa,Debit,4015096339812707,02/2023,494,YES,1,8509.0,06/2010,2010,No
84,0,Visa,Debit,4467199760802877,11/2014,176,YES,1,96907.0,11/2014,2014,No
84,1,Visa,Credit,4081474027835147,07/2015,45,YES,1,43900.0,03/2008,2013,No
84,2,Visa,Debit (Prepaid),4868297041449163,10/2020,440,YES,2,76.0,11/2005,2007,No
85,0,Mastercard,Debit,5843714671989158,01/2020,533,YES,2,50915.0,01/2020,2020,No
85,1,Visa,Debit,4052306795072868,12/2021,369,YES,2,31767.0,02/2020,2020,No
86,0,Visa,Credit,4229889369220690,04/2024,82,YES,2,13200.0,07/2008,2010,No
86,1,Mastercard,Credit,5936949471946678,10/2022,372,YES,2,16000.0,02/2011,2012,No
86,2,Visa,Debit,4748458102584203,07/2024,223,YES,2,18132.0,01/2020,2020,No
86,3,Visa,Credit,4862788591864799,02/2019,466,YES,1,300.0,04/2012,2012,No
87,0,Mastercard,Debit,5736838327060448,11/2022,714,YES,2,2236.0,05/2000,2015,No
87,1,Visa,Debit,4528854599819268,08/2019,451,YES,2,21591.0,09/2010,2010,No
88,0,Mastercard,Debit,5956798767354537,04/2020,927,YES,2,11521.0,02/2020,2020,No
88,1,Visa,Credit,4949830998579625,06/2020,561,NO,1,8600.0,01/2020,2020,No
89,0,Amex,Credit,323782494048404,03/2020,659,YES,1,9800.0,08/2003,2010,No
89,1,Visa,Credit,4172882144788973,03/2012,902,YES,2,11300.0,02/2008,2009,No
89,2,Mastercard,Credit,5153494647482349,10/2019,492,YES,1,8400.0,04/2009,2011,No
89,3,Mastercard,Debit,5513208341097350,12/2023,789,YES,1,16597.0,01/1999,2009,No
89,4,Amex,Credit,316138720673532,09/2020,876,YES,2,9400.0,09/2008,2008,No
90,0,Visa,Debit,4709941855155413,12/2008,122,YES,1,18702.0,12/2007,2007,No
91,0,Visa,Debit,4725438629956463,06/2022,675,YES,1,24806.0,06/2007,2007,No
91,1,Visa,Debit,4992990568824247,05/2023,457,YES,1,19856.0,11/2007,2011,No
92,0,Visa,Debit (Prepaid),4580252759299284,02/2021,397,YES,2,68.0,02/2010,2010,No
92,1,Amex,Credit,347103137777594,12/2022,791,YES,2,4900.0,06/2009,2009,No
93,0,Mastercard,Debit,5779387577644606,02/2022,421,YES,1,13390.0,02/2020,2020,No
93,1,Amex,Credit,343258769247986,11/2024,210,YES,3,8400.0,02/2020,2020,No
94,0,Amex,Credit,374396421501669,03/2024,659,YES,2,13700.0,02/2012,2012,No
95,0,Discover,Credit,6308795344040919,11/2024,205,YES,2,4200.0,06/2016,2016,No
96,0,Visa,Debit,4439832703761219,08/2020,424,YES,2,2292.0,10/2009,2015,No
96,1,Amex,Credit,304372446656131,03/2021,495,YES,1,8800.0,07/2010,2010,No
97,0,Mastercard,Credit,5881384408371205,03/2023,312,NO,2,7600.0,11/2006,2009,No
97,1,Visa,Credit,4966727954053977,11/2021,756,YES,2,6200.0,05/2005,2018,No
98,0,Mastercard,Credit,5784959743819578,07/2023,348,YES,1,12900.0,06/1999,2011,No
98,1,Mastercard,Debit,5617375085275816,06/2022,228,YES,2,18820.0,09/2008,2015,No
98,2,Visa,Debit,4813292561037475,07/2005,979,YES,2,16167.0,06/2004,2009,No
98,3,Mastercard,Credit,5659042637826477,06/2023,857,YES,2,4200.0,02/2007,2011,No
98,4,Mastercard,Debit,5691123059106648,08/2024,190,YES,2,18861.0,06/2006,2011,No
98,5,Visa,Debit,4803335286454198,02/2020,568,NO,1,27231.0,02/2011,2011,No
99,0,Visa,Debit,4274334344737347,12/2024,174,YES,1,24390.0,02/2020,2020,No
99,1,Mastercard,Debit,5073514573038606,02/2023,802,YES,1,3106.0,02/2020,2020,No
100,0,Mastercard,Debit,5550999995379539,07/2020,980,YES,2,13595.0,03/2006,2010,No
100,1,Discover,Credit,6616646974839947,11/2009,72,NO,2,12300.0,10/2009,2009,No
100,2,Mastercard,Credit,5384097503885721,02/2019,704,YES,2,12300.0,08/2005,2009,No
100,3,Mastercard,Debit,5082019741631139,04/2021,459,YES,1,20743.0,06/2016,2016,No
100,4,Mastercard,Debit,5843429452249829,08/2021,570,YES,2,17706.0,06/2003,2010,No
100,5,Mastercard,Debit,5898198294277172,08/2022,332,YES,2,20962.0,05/2009,2009,No
100,6,Mastercard,Debit,5433366978583845,03/2024,530,YES,2,19439.0,01/1997,2007,No
